[13:6:32 SYSTEM                   ] Tempest Server Started.
[13:56:51 24.55.248.63 Aeron      ] (1044) s
[13:56:52 24.55.248.63 Aeron      ] (1043) s
[13:56:52 24.55.248.63 Aeron      ] (1043) w
[13:56:53 24.55.248.63 Aeron      ] (1005) w
[13:56:53 24.55.248.63 Aeron      ] (1004) w
[13:56:53 24.55.248.63 Aeron      ] (1003) w
[13:56:54 24.55.248.63 Aeron      ] (1002) w
[13:56:54 24.55.248.63 Aeron      ] (1001) w
[13:56:55 24.55.248.63 Aeron      ] (1051) n
[13:56:55 24.55.248.63 Aeron      ] (1000) 
[13:56:56 24.55.248.63 Aeron      ] (1000) 
[13:56:56 24.55.248.63 Aeron      ] (1000) w
[13:56:57 24.55.248.63 Aeron      ] (100) w
[13:57:0 24.55.248.63 Aeron       ] (3000) w
[13:57:2 24.55.248.63 Aeron       ] (3030) e
[13:57:2 24.55.248.63 Aeron       ] (3000) n
[13:57:3 24.55.248.63 Aeron       ] (3000) s
[13:57:4 24.55.248.63 Aeron       ] (3000) w
[13:57:5 24.55.248.63 Aeron       ] (3030) n
[13:57:7 24.55.248.63 Aeron       ] (1500) n
[13:57:8 24.55.248.63 Aeron       ] (1500) e
[13:57:9 24.55.248.63 Aeron       ] (1500) w
[13:57:10 24.55.248.63 Aeron      ] (1500) s
[13:57:11 24.55.248.63 Aeron      ] (3030) e
[13:57:11 24.55.248.63 Aeron      ] (3000) e
[13:57:13 24.55.248.63 Aeron      ] (100) e
[13:57:14 24.55.248.63 Aeron      ] (1000) w
[13:57:15 24.55.248.63 Aeron      ] (100) read board
[13:57:19 24.55.248.63 Aeron      ] (100) read 1
[13:57:28 24.55.248.63 Aeron      ] (100) read 2
[13:57:40 24.55.248.63 Aeron      ] (100) imm
[13:57:46 24.55.248.63 Aeron      ] (100) read 3
[13:57:52 24.55.248.63 Aeron      ] (100) read 4
[13:57:55 24.55.248.63 Aeron      ] (100) l
[13:57:56 24.55.248.63 Aeron      ] (100) e
[13:57:58 24.55.248.63 Aeron      ] (1000) k guard
[13:58:9 24.55.248.63 Aeron       ] (100) st
[13:58:12 24.55.248.63 Aeron      ] (100) e
[13:58:15 24.55.248.63 Aeron      ] (1000) get all corpse
[13:58:17 24.55.248.63 Aeron      ] (1000) sac corpse
[13:58:19 24.55.248.63 Aeron      ] (1000) l
[13:58:21 24.55.248.63 Aeron      ] (1000) sc
[13:58:22 24.55.248.63 Aeron      ] (1000) st
[13:58:24 24.55.248.63 Aeron      ] (1000) w
[13:58:28 24.55.248.63 Aeron      ] (100) drink fountain
[13:58:29 24.55.248.63 Aeron      ] (100) e
[13:58:31 24.55.248.63 Aeron      ] (1000) s
[13:58:31 24.55.248.63 Aeron      ] (1051) n
[13:58:33 24.55.248.63 Aeron      ] (1000) con guard
[13:58:35 24.55.248.63 Aeron      ] (1000) s
[13:58:36 24.55.248.63 Aeron      ] (1051) e
[13:58:37 24.55.248.63 Aeron      ] (1001) e
[13:58:37 24.55.248.63 Aeron      ] (1002) e
[13:58:38 24.55.248.63 Aeron      ] (1003) e
[13:58:38 24.55.248.63 Aeron      ] (1004) e
[13:58:39 24.55.248.63 Aeron      ] (1005) e
[13:58:40 24.55.248.63 Aeron      ] (1043) e
[13:58:40 24.55.248.63 Aeron      ] (1043) n
[13:58:41 24.55.248.63 Aeron      ] (1044) n
[13:58:41 24.55.248.63 Aeron      ] (1044) s
[13:58:42 24.55.248.63 Aeron      ] (1043) w
[13:58:42 24.55.248.63 Aeron      ] (1005) n
[13:58:45 24.55.248.63 Aeron      ] (1049) n
[13:58:45 24.55.248.63 Aeron      ] (1049) u
[13:58:47 24.55.248.63 Aeron      ] (1037) n
[13:58:54 24.55.248.63 Aeron      ] (1038) exam girl
[13:58:56 24.55.248.63 Aeron      ] (1038) k girl
[13:59:5 24.55.248.63 Aeron       ] (100) drink fountain
[13:59:6 24.55.248.63 Aeron       ] (100) e
[13:59:7 24.55.248.63 Aeron       ] (1000) s
[13:59:8 24.55.248.63 Aeron       ] (1051) e
[13:59:8 24.55.248.63 Aeron       ] (1001) e
[13:59:8 24.55.248.63 Aeron       ] (1002) e
[13:59:9 24.55.248.63 Aeron       ] (1003) n
[13:59:10 24.55.248.63 Aeron      ] (1030) s
[13:59:10 24.55.248.63 Aeron      ] (1003) e
[13:59:11 24.55.248.63 Aeron      ] (1004) n
[13:59:12 24.55.248.63 Aeron      ] (1048) n
[13:59:12 24.55.248.63 Aeron      ] (1036) s
[13:59:13 24.55.248.63 Aeron      ] (1048) s
[13:59:13 24.55.248.63 Aeron      ] (1004) e
[13:59:14 24.55.248.63 Aeron      ] (1005) n
[13:59:15 24.55.248.63 Aeron      ] (1049) u
[13:59:15 24.55.248.63 Aeron      ] (1037) n
[13:59:17 24.55.248.63 Aeron      ] (1038) get all corpse
[13:59:18 24.55.248.63 Aeron      ] (1038) s
[13:59:18 24.55.248.63 Aeron      ] (1037) w
[13:59:19 24.55.248.63 Aeron      ] (1040) e
[13:59:20 24.55.248.63 Aeron      ] (1037) e
[13:59:21 24.55.248.63 Aeron      ] (1039) w
[13:59:21 24.55.248.63 Aeron      ] (1037) s
[13:59:23 24.55.248.63 Aeron      ] (1041) n
[13:59:24 24.55.248.63 Aeron      ] (1037) d
[13:59:25 24.55.248.63 Aeron      ] (1049) s
[13:59:26 24.55.248.63 Aeron      ] (1005) w
[13:59:27 24.55.248.63 Aeron      ] (1004) s
[13:59:27 24.55.248.63 Aeron      ] (1004) e
[13:59:27 24.55.248.63 Aeron      ] (1005) s
[13:59:31 24.55.248.63 Aeron      ] (1050) s
[13:59:32 24.55.248.63 Aeron      ] (1042) s
[13:59:35 24.55.248.63 Aeron      ] (1042) n
[13:59:36 24.55.248.63 Aeron      ] (1050) n
[13:59:36 24.55.248.63 Aeron      ] (1005) w
[13:59:37 24.55.248.63 Aeron      ] (1004) n
[13:59:38 24.55.248.63 Aeron      ] (1048) n
[13:59:39 24.55.248.63 Aeron      ] (1036) n
[13:59:39 24.55.248.63 Aeron      ] (1036) s
[13:59:40 24.55.248.63 Aeron      ] (1048) s
[13:59:40 24.55.248.63 Aeron      ] (1004) w
[13:59:41 24.55.248.63 Aeron      ] (1003) n
[13:59:44 24.55.248.63 Aeron      ] (1030) li
[13:59:47 24.55.248.63 Aeron      ] (1030) n
[13:59:50 24.55.248.63 Aeron      ] (1031) e
[13:59:51 24.55.248.63 Aeron      ] (1032) u
[13:59:53 24.55.248.63 Aeron      ] (1033) w
[13:59:56 24.55.248.63 Aeron      ] (1034) k cat
[14:0:1 24.55.248.63 Aeron        ] (1034) flee
[14:0:3 24.55.248.63 Aeron        ] (1033) w
[14:0:4 24.55.248.63 Aeron        ] (1034) s
[14:0:8 24.55.248.63 Aeron        ] (1035) n
[14:0:9 24.55.248.63 Aeron        ] (1034) e
[14:0:9 24.55.248.63 Aeron        ] (1033) d
[14:0:10 24.55.248.63 Aeron       ] (1032) w
[14:0:10 24.55.248.63 Aeron       ] (1031) s
[14:0:11 24.55.248.63 Aeron       ] (1030) 
[14:0:11 24.55.248.63 Aeron       ] (1030) s
[14:0:12 24.55.248.63 Aeron       ] (1003) w
[14:0:12 24.55.248.63 Aeron       ] (1002) w
[14:0:13 24.55.248.63 Aeron       ] (1001) w
[14:0:13 24.55.248.63 Aeron       ] (1051) n
[14:0:14 24.55.248.63 Aeron       ] (1000) w
[14:0:17 24.55.248.63 Aeron       ] (100) drink fountain
[14:0:17 24.55.248.63 Aeron       ] (100) sc
[14:0:18 24.55.248.63 Aeron       ] (100) st
[14:0:20 24.55.248.63 Aeron       ] (100) e
[14:0:20 24.55.248.63 Aeron       ] (1000) s
[14:0:21 24.55.248.63 Aeron       ] (1051) s
[14:0:21 24.55.248.63 Aeron       ] (1051) e
[14:0:21 24.55.248.63 Aeron       ] (1001) s
[14:0:22 24.55.248.63 Aeron       ] (1046) 
[14:0:23 24.55.248.63 Aeron       ] (1046) s
[14:0:24 24.55.248.63 Aeron       ] (1046) s
[14:0:25 24.55.248.63 Aeron       ] (1046) n
[14:0:25 24.55.248.63 Aeron       ] (1001) e
[14:0:26 24.55.248.63 Aeron       ] (1002) n
[14:0:27 24.55.248.63 Aeron       ] (1047) n
[14:0:28 24.55.248.63 Aeron       ] (1047) s
[14:0:28 24.55.248.63 Aeron       ] (1002) e
[14:0:29 24.55.248.63 Aeron       ] (1003) n
[14:0:29 24.55.248.63 Aeron       ] (1030) n
[14:0:33 24.55.248.63 Aeron       ] (1031) li
[14:0:34 24.55.248.63 Aeron       ] (1031) s
[14:0:38 24.55.248.63 Aeron       ] (1030) commands
[14:0:39 24.55.248.63 Aeron       ] (1030) command
[14:0:40 24.55.248.63 Aeron       ] (1030) eq
[14:0:41 24.55.248.63 Aeron       ] (1030) s
[14:0:42 24.55.248.63 Aeron       ] (1003) e
[14:0:42 24.55.248.63 Aeron       ] (1004) e
[14:0:43 24.55.248.63 Aeron       ] (1005) n
[14:0:44 24.55.248.63 Aeron       ] (1049) s
[14:0:45 24.55.248.63 Aeron       ] (1005) e
[14:0:45 24.55.248.63 Aeron       ] (1043) e
[14:0:46 24.55.248.63 Aeron       ] (1043) n
[14:0:47 24.55.248.63 Aeron       ] (1044) n
[14:0:47 24.55.248.63 Aeron       ] (1044) s
[14:0:48 24.55.248.63 Aeron       ] (1043) w
[14:0:48 24.55.248.63 Aeron       ] (1005) w
[14:0:48 24.55.248.63 Aeron       ] (1004) w
[14:0:48 24.55.248.63 Aeron       ] (1003) w
[14:0:49 24.55.248.63 Aeron       ] (1002) n
[14:0:50 24.55.248.63 Aeron       ] (1047) n
[14:0:50 24.55.248.63 Aeron       ] (1047) s
[14:0:50 24.55.248.63 Aeron       ] (1002) w
[14:0:51 24.55.248.63 Aeron       ] (1001) n
[14:0:51 24.55.248.63 Aeron       ] (1045) w
[14:0:52 24.55.248.63 Aeron       ] (1045) s
[14:0:52 24.55.248.63 Aeron       ] (1001) w
[14:0:53 24.55.248.63 Aeron       ] (1051) n
[14:0:54 24.55.248.63 Aeron       ] (1000) w
[14:0:55 24.55.248.63 Aeron       ] (100) e
[14:0:57 24.55.248.63 Aeron       ] (1000) get all
[14:0:58 24.55.248.63 Aeron       ] (1000) i
[14:0:59 24.55.248.63 Aeron       ] (1000) l
[14:1:9 24.55.248.63 Aeron        ] (1000) w
[14:1:11 24.55.248.63 Aeron       ] (100) n
[14:1:11 24.55.248.63 Aeron       ] (100) s
[14:1:12 24.55.248.63 Aeron       ] (100) d
[14:1:13 24.55.248.63 Aeron       ] (100) w
[14:1:14 24.55.248.63 Aeron       ] (3000) 
[14:1:15 24.55.248.63 Aeron       ] (3000) n
[14:1:15 24.55.248.63 Aeron       ] (3000) 
[14:1:16 24.55.248.63 Aeron       ] (3000) n
[14:1:18 24.55.248.63 Aeron       ] (3000) ex
[14:1:19 24.55.248.63 Aeron       ] (3000) exi
[14:1:20 24.55.248.63 Aeron       ] (3000) te
[14:1:20 24.55.248.63 Aeron       ] (3000) 
[14:1:21 24.55.248.63 Aeron       ] (3000) e
[14:1:24 24.55.248.63 Aeron       ] (100) chat
[14:1:27 24.55.248.63 Aeron       ] (100) auc
[14:1:30 24.55.248.63 Aeron       ] (100) auction
[14:1:34 24.55.248.63 Aeron       ] (100) quit
[14:1:34 SYSTEM                   ] 24.55.248.63 Aeron quit the game.
[15:35:17 SYSTEM                  ] 127.0.0.1 connected to server.
[15:35:19 127.0.0.1 LOGIN         ] (VOID) genevieve
[15:35:20 127.0.0.1 LOGIN         ] (VOID) genna
[15:35:20 127.0.0.1 Genevieve     ] (1563) Entered the world.
[15:35:24 127.0.0.1 Genevieve     ] (1563) goto 1
[15:35:24 127.0.0.1 Genevieve     ] (1563) 
[15:35:25 127.0.0.1 Genevieve     ] (1563) goto 100
[15:35:26 127.0.0.1 Genevieve     ] (100) read board
[15:35:37 127.0.0.1 Genevieve     ] (100) st
[15:35:40 127.0.0.1 Genevieve     ] (100) sc
[15:35:59 127.0.0.1 Genevieve     ] (100) e
[15:36:1 127.0.0.1 Genevieve      ] (1000) l note
[15:36:28 127.0.0.1 Genevieve     ] (1000) eq
[15:36:30 127.0.0.1 Genevieve     ] (1000) commands
[15:36:47 127.0.0.1 Genevieve     ] (1000) chat
[15:36:49 127.0.0.1 Genevieve     ] (1000) auc
[15:36:56 127.0.0.1 Genevieve     ] (1000) l
[15:36:57 127.0.0.1 Genevieve     ] (1000) w
[15:36:59 127.0.0.1 Genevieve     ] (100) l board
[15:37:5 127.0.0.1 Genevieve      ] (100) read board
[15:37:38 127.0.0.1 Genevieve     ] (100) l
[15:37:40 127.0.0.1 Genevieve     ] (100) title afk
[15:37:43 127.0.0.1 Genevieve     ] (100) who
[15:37:54 127.0.0.1 Genevieve     ] (100) l
[15:38:42 127.0.0.1 Genevieve     ] (100) l
[15:38:51 127.0.0.1 Genevieve     ] (100) who
[15:38:54 127.0.0.1 Genevieve     ] (100) save
[15:39:40 127.0.0.1 Genevieve     ] (100) alias
[15:39:43 127.0.0.1 Genevieve     ] (100) alias st
[15:39:44 127.0.0.1 Genevieve     ] (100) st
[15:40:16 127.0.0.1 Genevieve     ] (100) who
[15:40:17 127.0.0.1 Genevieve     ] (100) inv
[15:40:19 127.0.0.1 Genevieve     ] (100) l
[15:40:25 127.0.0.1 Genevieve     ] (100) info
[15:40:43 SYSTEM                  ] 127.0.0.1 Genevieve went linkdead in-game.
[15:42:43 SYSTEM                  ] 127.0.0.1 Genevieve dropped from the game.
[18:2:21 SYSTEM                   ] 68.170.210.116 connected to server.
[18:2:22 68.170.210.116 LOGIN     ] (VOID) Aristal
[18:2:23 68.170.210.116 LOGIN     ] (VOID) chagrin
[18:2:23 68.170.210.116 Aristal   ] (101) Entered the world.
[18:2:24 68.170.210.116 Aristal   ] (101) who
[18:2:43 68.170.210.116 Aristal   ] (101) goto 100
[18:2:47 68.170.210.116 Aristal   ] (100) users
[18:3:2 68.170.210.116 Aristal    ] (100) quit
[18:3:2 SYSTEM                    ] 68.170.210.116 Aristal quit the game.
