
 Thief Standard Weapons (STATS)

 +----+--------------------+----------------+------------------------+
 | LV |        NAME        |     BONUSES    |     REQUIRED STATS     |
 | 65 | Ebony Kris      |  68,000 | Th As Rg Sb Mc                   |
 | 70 | Sun Dagger      | 170,000 | Th As Ra Rg Sb Mc                |
 | 80 | Blossom Dagger  | 250,000 | Th As Ra Rg Sb Mc                |
 | 90 | Royal Dagger    | 600,000 | Th As Rg Sb                      |
 | 95 | Black Orchid    | 800,000 | Th As Sb                         |
 | 99 | The Heartseeker | 950,000 | Th As Sb                         |
 +----+-----------------+---------+----------------------------------+
 | 1  | Wooden Bow      |     100 | Th As Rg Ra Me Sb Mc Cl Hl Wa Pa |
 | 2  | Longbow         |     300 | Rg Ra Mc Wa                      |
 | 5  | Iron Bow        |     550 | Th As Rg Ra Me Sb Mc Cl Hl Wa Pa |
 | 8  | Leather Whip    |     800 | Th As Rg Sb Mc Wa                |
 | 10 | Crossbow        |     920 | Th As Rg Ra Me Sb Mc Cl Hl Wa Pa |
 | 12 | Iron Crossbow   |   1,000 | Th As Rg Ra Sb Mc Cl Hl Wa Pa    |
 | 15 | Throwing Star   |   1,200 | Th As Rg Sb                      |
 | 20 | B. Leather Whip |   2,000 | Th As Rg Sb Mc Wa                |
 | 25 | Throwing Knife  |   4,000 | Th As Rg Sb                      |
 | 30 | Poison Darts    |   7,500 | Th As Rg Sb                      |
 | 35 | Elven Longbow   |  10,000 | Th As Rg Ra Sb Mc Cl Hl Wa Pa    |
 | 40 | Morningstar     |  14,000 | Th As Rg Sb Mc Wa                |
 | 50 | Drow Longbow    |  45,000 | Th As Rg Ra Sb Mc Cl Hl Wa Pa    |
 | 55 | Triple Flail    |  80,000 | Th As Rg Sb Mc Wa                |
 | 60 | Robin Bow       | 100,000 | Th As Rg Ra Sb Mc Cl Hl Wa Pa    |
 | 70 | Mystic Bow      | 250,000 | Th As Rg Ra Mc Cl Hl             |
 | 75 | Flame Whip      | 350,000 | Th As Rg Sb Mc Wa                |
 | 80 | Dream Bow       | 400,000 | Th Rg Ra Mc Cl Hl                |
 | 85 | Giant Scythe    | 500,000 | Th As Rg Sb Mc Wa                |
 | 95 | Seraphic Bow    | 980,000 | Ra Cl                            |
 | 99 | Valkyrie        | 1.2 Mil | Ra As                            |
 +----------------------+---------+----------------------------------+
